Avg WT,Max WT,Avg TAT,Max TAT
"255,75",490,"250,91",480
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p1,0,7,0,0,7
p8,0,4,7,7,11
p24,0,6,11,11,17
p32,0,10,17,17,27
p57,0,8,27,27,35
p69,0,1,35,35,36
p74,0,10,36,36,46
p79,0,9,46,46,55
p85,0,5,55,55,60
p20,1,6,59,60,66
p31,1,4,65,66,70
p37,1,1,69,70,71
p47,1,3,70,71,74
p48,1,10,73,74,84
p63,1,8,83,84,92
p98,1,1,91,92,93
p5,2,9,91,93,102
p9,2,4,100,102,106
p14,2,6,104,106,112
p23,2,2,110,112,114
p27,2,8,112,114,122
p41,2,5,120,122,127
p53,2,10,125,127,137
p55,2,8,135,137,145
p66,2,1,143,145,146
p71,2,1,144,146,147
p80,2,9,145,147,156
p4,3,5,153,156,161
p7,3,4,158,161,165
p10,3,0,162,165,165
p12,3,4,162,165,169
p19,3,2,166,169,171
p36,3,6,168,171,177
p38,3,1,174,177,178
p44,3,4,175,178,182
p56,3,9,179,182,191
p78,3,9,188,191,200
p95,3,10,197,200,210
p99,3,7,207,210,217
p6,4,4,213,217,221
p15,4,2,217,221,223
p22,4,10,219,223,233
p25,4,4,229,233,237
p35,4,2,233,237,239
p42,4,0,235,239,239
p59,4,3,235,239,242
p68,4,2,238,242,244
p73,4,5,240,244,249
p76,4,5,245,249,254
p86,4,5,250,254,259
p93,4,1,255,259,260
p13,5,3,255,260,263
p17,5,10,258,263,273
p33,5,9,268,273,282
p43,5,1,277,282,283
p70,5,0,278,283,283
p81,5,2,278,283,285
p83,5,10,280,285,295
p88,5,7,290,295,302
p2,6,5,296,302,307
p11,6,3,301,307,310
p29,6,10,304,310,320
p34,6,6,314,320,326
p52,6,1,320,326,327
p60,6,1,321,327,328
p65,6,8,322,328,336
p89,6,0,330,336,336
p3,7,9,329,336,345
p39,7,4,338,345,349
p45,7,5,342,349,354
p50,7,7,347,354,361
p51,7,2,354,361,363
p54,7,6,356,363,369
p58,7,7,362,369,376
p72,7,4,369,376,380
p75,7,10,373,380,390
p90,7,7,383,390,397
p28,8,3,389,397,400
p40,8,10,392,400,410
p64,8,0,402,410,410
p92,8,0,402,410,410
p96,8,3,402,410,413
p21,9,9,404,413,422
p26,9,0,413,422,422
p49,9,1,413,422,423
p61,9,4,414,423,427
p62,9,3,418,427,430
p87,9,5,421,430,435
p97,9,3,426,435,438
p0,10,2,428,438,440
p16,10,6,430,440,446
p18,10,9,436,446,455
p30,10,5,445,455,460
p46,10,2,450,460,462
p67,10,4,452,462,466
p77,10,5,456,466,471
p82,10,9,461,471,480
p84,10,1,470,480,481
p91,10,9,471,481,490
p94,10,0,480,490,490
