Avg WT,Max WT,Avg TAT,Max TAT
"271,7",519,"265,92",509
"266,24",527,"260,73",517
"255,3",516,"249,99",506
"268,01",558,"263,68",548
"227,73",466,"222,26",456
"255,6",492,"250,79",482
"238,53",471,"233,79",461
"219,52",465,"214,55",455
"255,7",493,"251,11",483
"220,04",437,"214,76",427
"247,66",505,"242,18",495
"242,86",485,"238,16",475
"210,83",448,"205,71",438
"255,54",505,"250,72",495
"232,82",474,"227,29",464
"246,88",486,"241,39",476
"242,91",519,"237,98",509
"245,93",484,"240,97",474
"259,25",527,"254,57",517
"250,36",496,"244,9",486
"255,75",490,"250,91",480
"241,3",501,"236,37",491
"248,67",493,"244,52",483
"257,87",503,"252,94",493
"227,9",497,"222,73",487
"248,26",498,"242,92",488
"285,9",562,"280,9",552
"263,94",533,"258,34",523
"281,57",549,"277,01",539
"243,28",485,"237,77",475
"199,57",432,"194,28",422
"264,95",495,"259,7",485
"245,63",487,"240,67",477
"230,18",475,"225,18",465
"239,54",472,"235,18",462
"237,33",460,"232,19",450
"226,59",472,"221,45",462
"253,62",518,"248,32",508
"215,14",457,"209,86",447
"249,43",503,"244,27",493
"225,41",441,"220,78",431
"235,19",489,"230,18",479
"229,78",477,"224,95",467
"245,85",509,"241,15",499
"266,69",529,"261,74",519
"253,27",522,"247,94",512
"209,84",419,"205,19",409
"278,47",550,"272,86",540
"257,48",490,"252,53",480
"260,68",525,"255,38",515
"236,3",485,"231,61",475
"250,42",504,"244,96",494
"268,66",516,"263,62",506
"266,77",521,"261,81",511
"241,56",494,"236,47",484
"236,42",473,"231,41",463
"249,17",471,"243,75",461
"244,44",464,"239,06",454
"243,06",506,"238,36",496
"249,56",524,"244,41",514
"251,71",471,"247,23",461
"250,84",494,"246,29",484
"270,11",516,"265,04",506
"237,3",492,"232,25",482
"206,74",444,"201,29",434
"233,42",442,"228,53",432
"246,48",472,"242,08",462
"238,2",453,"233,1",443
"227,9",455,"222,86",445
"242,81",494,"238,23",484
"231,1",462,"225,87",452
"232,61",460,"227,23",450
"230,66",506,"226,12",496
"273,45",529,"268,71",519
"249,26",502,"244,05",492
"261,09",517,"256,38",507
"265,89",503,"260,71",493
"240,11",478,"234,91",468
"253,04",516,"248,25",506
"260,68",483,"255,75",473
"269,32",526,"264,08",516
"238,18",495,"233,6",485
"248,78",486,"243,39",476
"248,32",483,"243,29",473
"254,92",497,"249,38",487
"240,95",488,"235,97",478
"238,59",472,"234,1",462
"261,81",520,"256,58",510
"228,99",475,"224,02",465
"258,21",492,"253,15",482
"256,28",536,"250,89",526
"238,61",515,"233,07",505
"250,18",500,"245,12",490
"254,76",488,"249,4",478
"251,95",509,"246,99",499
"240,22",505,"234,99",495
"276,9",530,"272,37",520
"251,57",510,"246,73",500
"237,25",488,"232,32",478
"266,13",543,"261,13",533
