Avg WT,Max WT,Avg TAT,Max TAT
"152,79",479,"157,78",489
ID,Arrival Time,Burst Time,Completion Time,Turn Around Time,Wait Time
p20,0,6,133,133,127
p53,0,10,439,439,429
p60,0,6,139,139,133
p62,0,4,67,67,63
p68,0,7,176,176,169
p69,0,3,3,3,0
p8,1,2,15,14,12
p16,1,6,145,144,138
p22,1,7,183,182,175
p24,1,8,261,260,252
p49,1,8,269,268,260
p55,1,2,17,16,14
p82,1,7,190,189,182
p83,1,8,277,276,268
p11,2,6,151,149,143
p28,2,5,92,90,85
p35,2,6,157,155,149
p44,2,0,3,1,1
p50,2,3,36,34,31
p78,2,3,39,37,34
p91,2,3,42,40,37
p7,3,5,97,94,89
p15,3,5,102,99,94
p23,3,1,4,1,0
p29,3,2,19,16,14
p39,3,1,5,2,1
p42,3,8,285,282,274
p59,3,9,366,363,354
p72,3,3,45,42,39
p73,3,8,293,290,282
p85,3,9,375,372,363
p88,3,9,384,381,372
p27,4,3,48,44,41
p51,4,3,51,47,44
p77,4,1,6,2,1
p80,4,2,21,17,15
p2,5,7,197,192,185
p3,5,7,204,199,192
p10,5,9,393,388,379
p14,5,1,7,2,1
p25,5,8,301,296,288
p31,5,8,309,304,296
p40,5,10,449,444,434
p47,5,9,402,397,388
p48,5,4,71,66,62
p70,5,9,411,406,397
p74,5,7,211,206,199
p81,5,7,218,213,206
p97,5,5,107,102,97
p0,6,2,23,17,15
p13,6,10,459,453,443
p19,6,4,75,69,65
p26,6,2,25,19,17
p79,6,10,469,463,453
p90,6,8,317,311,303
p17,7,5,112,105,100
p18,7,1,8,1,0
p30,7,3,54,47,44
p32,7,0,7,0,0
p38,7,4,79,72,68
p54,7,7,225,218,211
p57,7,1,9,2,1
p63,7,5,117,110,105
p76,7,9,420,413,404
p84,7,4,83,76,72
p86,7,8,325,318,310
p87,7,0,7,0,0
p89,7,0,7,0,0
p92,7,0,7,0,0
p93,7,3,57,50,47
p95,7,5,122,115,110
p96,7,3,60,53,50
p98,7,7,232,225,218
p5,8,1,10,2,1
p37,8,1,11,3,2
p45,8,3,63,55,52
p61,8,8,333,325,317
p1,9,4,87,78,74
p6,9,2,27,18,16
p9,9,10,479,470,460
p41,9,1,12,3,2
p66,9,10,489,480,470
p75,9,0,9,0,0
p4,10,2,29,19,17
p12,10,10,499,489,479
p21,10,0,10,0,0
p33,10,8,341,331,323
p34,10,8,349,339,331
p36,10,1,13,3,2
p43,10,0,10,0,0
p46,10,2,31,21,19
p52,10,7,239,229,222
p56,10,9,429,419,410
p58,10,5,127,117,112
p64,10,6,163,153,147
p65,10,7,246,236,229
p67,10,8,357,347,339
p71,10,6,169,159,153
p94,10,7,253,243,236
p99,10,2,33,23,21
