Avg WT,Max WT,Avg TAT,Max TAT
"165,28",508,"170,55",518
"164,56",512,"169,88",522
"164,59",506,"169,85",516
"195,49",550,"201,16",560
"133,25",456,"138,01",466
"151,15",481,"156,16",491
"142,12",452,"146,83",462
"134,61",448,"139,29",458
"156,97",485,"161,97",495
"118,6",419,"122,99",429
"158,66",495,"163,8",505
"159,19",480,"164,13",490
"132,85",429,"137,34",439
"159,96",489,"165,04",499
"147,19",461,"152,0",471
"140,94",467,"145,81",477
"171,18",507,"176,45",517
"146,66",473,"151,59",483
"166,42",511,"171,71",521
"146,5",478,"151,47",488
"145,73",472,"150,63",482
"163,3",491,"168,41",501
"151,83",479,"156,78",489
"147,52",484,"152,56",494
"153,29",484,"158,33",494
"152,55",487,"157,62",497
"189,26",543,"194,89",553
"171,56",519,"176,95",529
"185,58",535,"191,11",545
"152,28",474,"157,22",484
"121,21",420,"125,61",430
"160,4",486,"165,44",496
"145,38",474,"150,29",484
"142,55",458,"147,33",468
"140,91",454,"145,63",464
"137,8",447,"142,44",457
"153,77",459,"158,56",469
"155,83",503,"161,06",513
"127,96",438,"132,54",448
"160,59",486,"165,65",496
"132,13",430,"136,61",440
"142,27",480,"147,25",490
"151,11",467,"155,98",477
"156,81",495,"161,95",505
"169,55",518,"174,91",528
"157,33",502,"162,55",512
"112,57",403,"116,8",413
"177,6",540,"183,18",550
"146,73",474,"151,66",484
"166,65",515,"171,99",525
"152,86",474,"157,79",484
"160,03",494,"165,17",504
"166,17",504,"171,41",514
"171,65",513,"176,95",523
"147,72",475,"152,67",485
"143,42",458,"148,2",468
"136,1",452,"140,82",462
"139,47",454,"144,2",464
"158,55",489,"163,63",499
"167,57",507,"172,82",517
"135,06",456,"139,82",466
"152,45",484,"157,46",494
"155,32",498,"160,49",508
"156,93",476,"161,89",486
"130,64",426,"135,09",436
"129,81",427,"134,26",437
"140,02",455,"144,77",465
"133,74",439,"138,31",449
"133,3",442,"137,91",452
"149,21",475,"154,16",485
"135,49",453,"140,2",463
"133,75",442,"138,37",452
"156,83",491,"161,92",501
"171,27",517,"176,6",527
"159,29",487,"164,36",497
"165,46",505,"170,69",515
"152,07",490,"157,17",500
"139,92",463,"144,75",473
"160,84",505,"166,08",515
"144,12",464,"148,96",474
"171,09",516,"176,45",526
"150,18",477,"155,14",487
"158,53",475,"163,47",485
"151,62",470,"156,52",480
"152,79",479,"157,78",489
"149,75",469,"154,64",479
"137,64",462,"142,46",472
"162,25",509,"167,53",519
"142,08",455,"146,83",465
"147,96",474,"152,9",484
"176,92",520,"182,32",530
"169,26",504,"174,5",514
"156,3",485,"161,35",495
"143,12",470,"148,0",480
"160,52",500,"165,7",510
"156,33",490,"161,43",500
"174,99",524,"180,38",534
"163,42",496,"168,58",506
"147,36",473,"152,27",483
"184,76",533,"190,29",543
